product_type_l,production_records,median_production_units,mean_production_units,median_operating_ratio,mean_operating_ratio,median_nonoperation_h
3,36,1272.0,1231.611111111111,0.47511539553059623,0.49358172012090445,2.58966152777778
5,17,780.0,828.0,0.4274377380213946,0.41615471554719824,2.2309363888888862
