downtime_id,date,downtime_start_time,downtime_end_time,downtime_time,date_corrected,downtime_duration,downtime_seconds,downtime_minutes,downtime_hours,event_count
downtime_019,2022-07-22,13:04:18.974000,13:55:19.147000,00:51:00.173000,False,0 days 00:51:00.173000,3060.173,51.00288333333333,0.8500480555555555,1
downtime_071,2022-07-26,09:03:44.103000,09:51:44.236000,00:48:00.133000,False,0 days 00:48:00.133000,2880.133,48.00221666666666,0.8000369444444444,1
downtime_1190,2022-12-27,16:05:37.139000,16:51:04.815000,00:45:27.676000,False,0 days 00:45:27.676000,2727.676,45.46126666666667,0.7576877777777777,1
downtime_996,2022-12-06,13:49:45.138000,14:32:00.831000,00:42:15.693000,False,0 days 00:42:15.693000,2535.693,42.26155000000001,0.7043591666666668,1
downtime_793,2022-10-31,15:49:23.878000,16:31:23.831000,00:41:59.953000,False,0 days 00:41:59.953000,2519.953,41.99921666666667,0.6999869444444444,1
downtime_1304,2023-01-20,16:49:54.179000,17:29:39.509000,00:39:45.330000,False,0 days 00:39:45.330000,2385.33,39.7555,0.6625916666666667,1
downtime_1081,2022-12-19,15:55:21.841000,16:34:21.952000,00:39:00.111000,False,0 days 00:39:00.111000,2340.111,39.00185,0.6500308333333333,1
downtime_1182,2022-12-27,11:19:06.320000,11:58:06.431000,00:39:00.111000,False,0 days 00:39:00.111000,2340.111,39.00185,0.6500308333333333,1
downtime_1283,2023-01-16,17:01:36.456000,17:40:21.568000,00:38:45.112000,False,0 days 00:38:45.112000,2325.112,38.751866666666665,0.6458644444444445,1
downtime_828,2022-11-03,14:36:18.215000,15:12:32.817000,00:36:14.602000,False,0 days 00:36:14.602000,2174.602,36.24336666666667,0.6040561111111111,1
downtime_467,2022-09-22,14:49:35.430000,15:25:20.465000,00:35:45.035000,False,0 days 00:35:45.035000,2145.035,35.75058333333333,0.5958430555555555,1
downtime_697,2022-10-24,15:01:59.423000,15:37:29.522000,00:35:30.099000,False,0 days 00:35:30.099000,2130.099,35.501650000000005,0.5916941666666667,1
downtime_1019,2022-12-13,07:27:27.939000,08:02:39.001000,00:35:11.062000,False,0 days 00:35:11.062000,2111.062,35.18436666666666,0.5864061111111111,1
downtime_070,2022-07-22,20:25:09.648000,20:59:24.683000,00:34:15.035000,False,0 days 00:34:15.035000,2055.035,34.25058333333333,0.5708430555555555,1
downtime_1079,2022-12-19,15:19:21.729000,15:45:36.820000,00:26:15.091000,False,0 days 00:26:15.091000,1575.091,26.251516666666664,0.4375252777777777,1
downtime_137,2022-08-01,17:33:58.169000,18:00:13.241000,00:26:15.072000,False,0 days 00:26:15.072000,1575.072,26.2512,0.4375199999999999,1
downtime_312,2022-09-12,15:50:32.343000,16:16:29.694000,00:25:57.351000,False,0 days 00:25:57.351000,1557.351,25.95585,0.4325975,1
downtime_072,2022-07-26,09:53:44.242000,10:18:14.312000,00:24:30.070000,False,0 days 00:24:30.070000,1470.07,24.501166666666663,0.4083527777777778,1
downtime_1015,2022-12-08,17:09:19.832000,17:33:34.902000,00:24:15.070000,False,0 days 00:24:15.070000,1455.07,24.251166666666663,0.4041861111111111,1
downtime_124,2022-08-01,14:48:06.059000,15:11:17.381000,00:23:11.322000,False,0 days 00:23:11.322000,1391.322,23.1887,0.3864783333333333,1
downtime_152,2022-08-04,16:00:04.356000,16:22:49.413000,00:22:45.057000,False,0 days 00:22:45.057000,1365.057,22.75095,0.3791825,1
downtime_879,2022-11-08,18:23:09.468000,18:44:39.546000,00:21:30.078000,False,0 days 00:21:30.078000,1290.078,21.5013,0.358355,1
downtime_390,2022-09-15,15:48:17.384000,16:09:32.425000,00:21:15.041000,False,0 days 00:21:15.041000,1275.041,21.25068333333333,0.3541780555555555,1
downtime_1010,2022-12-08,14:05:04.306000,14:25:49.413000,00:20:45.107000,False,0 days 00:20:45.107000,1245.107,20.75178333333333,0.3458630555555555,1
downtime_1018,2022-12-13,07:06:42.889000,07:26:42.941000,00:20:00.052000,False,0 days 00:20:00.052000,1200.052,20.000866666666663,0.3333477777777777,1
downtime_1326,2023-01-27,12:03:32.577000,12:22:59.049000,00:19:26.472000,False,0 days 00:19:26.472000,1166.472,19.4412,0.32402,1
downtime_1345,2023-01-31,15:25:30.379000,15:43:15.479000,00:17:45.100000,False,0 days 00:17:45.100000,1065.1,17.751666666666665,0.2958611111111111,1
downtime_1218,2022-12-30,14:05:56.937000,14:22:41.987000,00:16:45.050000,False,0 days 00:16:45.050000,1005.05,16.750833333333333,0.2791805555555555,1
downtime_1144,2022-12-21,17:14:08.433000,17:29:53.477000,00:15:45.044000,False,0 days 00:15:45.044000,945.044,15.750733333333333,0.2625122222222222,1
downtime_117,2022-07-26,17:48:00.574000,18:03:15.624000,00:15:15.050000,False,0 days 00:15:15.050000,915.05,15.250833333333333,0.2541805555555555,1
downtime_1074,2022-12-19,14:49:06.650000,15:03:51.702000,00:14:45.052000,False,0 days 00:14:45.052000,885.052,14.750866666666669,0.2458477777777777,1
downtime_881,2022-11-11,14:51:01.030000,15:05:16.123000,00:14:15.093000,False,0 days 00:14:15.093000,855.093,14.25155,0.2375258333333333,1
downtime_585,2022-10-10,14:30:42.119000,14:44:57.173000,00:14:15.054000,False,0 days 00:14:15.054000,855.054,14.2509,0.237515,1
downtime_1355,2023-02-07,13:44:00.812000,13:58:01.006000,00:14:00.194000,False,0 days 00:14:00.194000,840.194,14.003233333333332,0.2333872222222222,1
downtime_1059,2022-12-16,17:01:02.146000,17:15:02.182000,00:14:00.036000,False,0 days 00:14:00.036000,840.036,14.0006,0.2333433333333333,1
downtime_1333,2023-01-27,15:19:22.416000,15:32:37.453000,00:13:15.037000,False,0 days 00:13:15.037000,795.037,13.250616666666668,0.2208436111111111,1
downtime_1339,2023-01-31,14:04:30.345000,14:17:45.178000,00:13:14.833000,False,0 days 00:13:14.833000,794.833,13.247216666666668,0.2207869444444444,1
downtime_548,2022-10-07,15:58:09.383000,16:11:09.418000,00:13:00.035000,False,0 days 00:13:00.035000,780.035,13.000583333333331,0.2166763888888888,1
downtime_670,2022-10-20,15:03:25.499000,15:16:25.514000,00:13:00.015000,False,0 days 00:13:00.015000,780.015,13.00025,0.2166708333333333,1
downtime_527,2022-10-07,14:52:54.208000,15:05:24.243000,00:12:30.035000,False,0 days 00:12:30.035000,750.035,12.500583333333331,0.2083430555555555,1
downtime_1383,2023-02-10,14:02:46.669000,14:15:16.702000,00:12:30.033000,False,0 days 00:12:30.033000,750.033,12.50055,0.2083425,1
downtime_1178,2022-12-26,15:52:22.119000,16:04:37.155000,00:12:15.036000,False,0 days 00:12:15.036000,735.036,12.2506,0.2041766666666666,1
downtime_562,2022-10-07,16:59:54.723000,17:12:09.596000,00:12:14.873000,False,0 days 00:12:14.873000,734.873,12.247883333333334,0.2041313888888889,1
downtime_1198,2022-12-28,11:49:34.130000,12:01:34.164000,00:12:00.034000,False,0 days 00:12:00.034000,720.034,12.000566666666666,0.2000094444444444,1
downtime_769,2022-11-28,16:40:17.683000,16:52:17.695000,00:12:00.012000,False,0 days 00:12:00.012000,720.012,12.0002,0.2000033333333333,1
downtime_1105,2022-12-20,16:23:57.098000,16:35:42.132000,00:11:45.034000,False,0 days 00:11:45.034000,705.034,11.750566666666666,0.1958427777777777,1
downtime_1142,2022-12-21,16:40:23.342000,16:51:53.386000,00:11:30.044000,False,0 days 00:11:30.044000,690.044,11.500733333333333,0.1916788888888888,1
downtime_794,2022-10-31,17:04:53.916000,17:16:08.952000,00:11:15.036000,False,0 days 00:11:15.036000,675.036,11.2506,0.1875099999999999,1
downtime_921,2022-11-21,16:29:21.697000,16:40:21.727000,00:11:00.030000,False,0 days 00:11:00.030000,660.03,11.0005,0.1833416666666666,1
downtime_1265,2023-01-13,16:32:09.890000,16:42:54.964000,00:10:45.074000,True,0 days 00:10:45.074000,645.074,10.751233333333332,0.1791872222222222,1
downtime_025,2022-07-22,15:15:38.653000,15:26:23.684000,00:10:45.031000,False,0 days 00:10:45.031000,645.031,10.750516666666666,0.1791752777777777,1
downtime_1288,2023-01-19,16:10:58.494000,16:21:43.525000,00:10:45.031000,False,0 days 00:10:45.031000,645.031,10.750516666666666,0.1791752777777777,1
downtime_148,2022-08-04,12:17:06.283000,12:27:51.301000,00:10:45.018000,False,0 days 00:10:45.018000,645.018,10.7503,0.1791716666666666,1
downtime_1209,2022-12-28,14:54:49.656000,15:05:19.701000,00:10:30.045000,False,0 days 00:10:30.045000,630.045,10.50075,0.1750125,1
downtime_1154,2022-12-22,12:00:00.744000,12:10:30.713000,00:10:29.969000,False,0 days 00:10:29.969000,629.969,10.499483333333334,0.1749913888888889,1
downtime_1367,2023-02-07,15:00:46.032000,15:11:01.112000,00:10:15.080000,False,0 days 00:10:15.080000,615.08,10.251333333333331,0.1708555555555555,1
downtime_815,2022-11-03,13:48:02.576000,13:58:17.638000,00:10:15.062000,False,0 days 00:10:15.062000,615.062,10.251033333333334,0.1708505555555555,1
downtime_963,2022-12-02,13:14:51.506000,13:24:51.536000,00:10:00.030000,False,0 days 00:10:00.030000,600.03,10.0005,0.166675,1
downtime_1374,2023-02-10,11:20:31.201000,11:30:31.225000,00:10:00.024000,False,0 days 00:10:00.024000,600.024,10.0004,0.1666733333333333,1
downtime_221,2022-09-06,15:36:43.549000,15:46:28.574000,00:09:45.025000,False,0 days 00:09:45.025000,585.025,9.750416666666666,0.1625069444444444,1
downtime_775,2022-11-28,17:05:32.722000,17:15:17.741000,00:09:45.019000,False,0 days 00:09:45.019000,585.019,9.750316666666668,0.1625052777777778,1
downtime_1291,2023-01-19,16:51:43.644000,17:01:28.634000,00:09:44.990000,False,0 days 00:09:44.990000,584.99,9.749833333333331,0.1624972222222222,1
downtime_1159,2022-12-23,09:46:49.885000,09:56:19.911000,00:09:30.026000,False,0 days 00:09:30.026000,570.026,9.500433333333332,0.1583405555555555,1
downtime_950,2022-11-28,15:56:56.611000,16:06:26.632000,00:09:30.021000,False,0 days 00:09:30.021000,570.021,9.50035,0.1583391666666666,1
downtime_882,2022-11-11,15:06:16.100000,15:15:46.111000,00:09:30.011000,False,0 days 00:09:30.011000,570.011,9.500183333333332,0.1583363888888888,1
downtime_1188,2022-12-27,15:36:22.110000,15:45:37.287000,00:09:15.177000,False,0 days 00:09:15.177000,555.177,9.25295,0.1542158333333333,1
downtime_1281,2023-01-16,16:30:51.378000,16:40:06.439000,00:09:15.061000,False,0 days 00:09:15.061000,555.061,9.251016666666668,0.1541836111111111,1
downtime_1372,2023-02-10,10:50:46.110000,11:00:01.142000,00:09:15.032000,False,0 days 00:09:15.032000,555.032,9.250533333333331,0.1541755555555555,1
downtime_1166,2022-12-23,11:11:50.126000,11:21:05.157000,00:09:15.031000,False,0 days 00:09:15.031000,555.031,9.250516666666666,0.1541752777777777,1
downtime_884,2022-11-11,15:27:01.134000,15:36:01.161000,00:09:00.027000,False,0 days 00:09:00.027000,540.027,9.00045,0.1500075,1
downtime_1222,2022-12-30,15:30:57.191000,15:39:57.202000,00:09:00.011000,False,0 days 00:09:00.011000,540.011,9.000183333333332,0.1500030555555555,1
downtime_724,2022-10-25,16:14:23.088000,16:23:08.176000,00:08:45.088000,False,0 days 00:08:45.088000,525.088,8.751466666666666,0.1458577777777777,1
downtime_1117,2022-12-21,10:31:27.069000,10:40:12.099000,00:08:45.030000,False,0 days 00:08:45.030000,525.03,8.750499999999999,0.1458416666666666,1
downtime_1334,2023-01-27,15:49:37.504000,15:58:22.529000,00:08:45.025000,False,0 days 00:08:45.025000,525.025,8.750416666666666,0.1458402777777777,1
downtime_1045,2022-12-13,15:50:10.319000,15:58:55.342000,00:08:45.023000,False,0 days 00:08:45.023000,525.023,8.750383333333334,0.1458397222222222,1
downtime_1164,2022-12-23,10:43:20.061000,10:52:05.074000,00:08:45.013000,False,0 days 00:08:45.013000,525.013,8.750216666666667,0.1458369444444444,1
downtime_1226,2022-12-30,16:20:12.319000,16:28:42.343000,00:08:30.024000,False,0 days 00:08:30.024000,510.024,8.5004,0.1416733333333333,1
downtime_1210,2022-12-28,15:13:49.716000,15:22:19.734000,00:08:30.018000,False,0 days 00:08:30.018000,510.018,8.5003,0.1416716666666666,1
downtime_1356,2023-02-07,13:59:30.877000,14:08:00.872000,00:08:29.995000,False,0 days 00:08:29.995000,509.995,8.499916666666667,0.1416652777777778,1
downtime_901,2022-11-15,11:21:05.811000,11:29:35.680000,00:08:29.869000,False,0 days 00:08:29.869000,509.869,8.497816666666667,0.1416302777777777,1
downtime_898,2022-11-14,16:13:08.690000,16:21:08.720000,00:08:00.030000,False,0 days 00:08:00.030000,480.03,8.000499999999999,0.1333416666666666,1
downtime_1276,2023-01-16,15:19:06.170000,15:27:06.189000,00:08:00.019000,False,0 days 00:08:00.019000,480.019,8.000316666666667,0.1333386111111111,1
downtime_819,2022-11-03,14:06:32.641000,14:14:32.653000,00:08:00.012000,False,0 days 00:08:00.012000,480.012,8.0002,0.1333366666666666,1
downtime_068,2022-07-22,20:11:24.628000,20:19:24.633000,00:08:00.005000,False,0 days 00:08:00.005000,480.005,8.000083333333333,0.1333347222222222,1
downtime_1225,2022-12-30,16:05:42.273000,16:13:27.318000,00:07:45.045000,False,0 days 00:07:45.045000,465.045,7.75075,0.1291791666666666,1
downtime_131,2022-08-01,16:46:32.883000,16:54:17.905000,00:07:45.022000,False,0 days 00:07:45.022000,465.022,7.750366666666666,0.1291727777777777,1
downtime_958,2022-11-28,17:57:35.352000,18:05:05.374000,00:07:30.022000,False,0 days 00:07:30.022000,450.022,7.500366666666666,0.1250061111111111,1
downtime_945,2022-11-23,16:43:28.769000,16:50:58.790000,00:07:30.021000,False,0 days 00:07:30.021000,450.021,7.50035,0.1250058333333333,1
downtime_1254,2023-01-13,15:38:39.765000,15:46:09.760000,00:07:29.995000,True,0 days 00:07:29.995000,449.995,7.499916666666667,0.1249986111111111,1
downtime_064,2022-07-22,18:41:24.240000,18:48:39.306000,00:07:15.066000,False,0 days 00:07:15.066000,435.066,7.251099999999999,0.1208516666666666,1
downtime_1189,2022-12-27,15:53:37.108000,16:00:52.145000,00:07:15.037000,False,0 days 00:07:15.037000,435.037,7.250616666666667,0.1208436111111111,1
downtime_993,2022-12-05,15:02:05.475000,15:09:20.505000,00:07:15.030000,False,0 days 00:07:15.030000,435.03,7.2505,0.1208416666666666,1
downtime_1022,2022-12-13,10:03:39.337000,10:10:54.357000,00:07:15.020000,False,0 days 00:07:15.020000,435.02,7.250333333333333,0.1208388888888888,1
downtime_1329,2023-01-27,14:13:22.513000,14:20:37.251000,00:07:14.738000,False,0 days 00:07:14.738000,434.738,7.245633333333333,0.1207605555555555,1
downtime_1156,2022-12-22,16:19:46.210000,16:26:46.326000,00:07:00.116000,False,0 days 00:07:00.116000,420.116,7.001933333333333,0.1166988888888888,1
downtime_1020,2022-12-13,08:04:54.025000,08:11:54.064000,00:07:00.039000,False,0 days 00:07:00.039000,420.039,7.000649999999999,0.1166774999999999,1
downtime_1030,2022-12-13,11:30:09.584000,11:37:09.602000,00:07:00.018000,False,0 days 00:07:00.018000,420.018,7.000299999999999,0.1166716666666666,1
downtime_1384,2023-02-10,14:29:01.737000,14:35:46.778000,00:06:45.041000,False,0 days 00:06:45.041000,405.041,6.750683333333333,0.1125113888888888,1
downtime_949,2022-11-28,15:48:11.580000,15:54:56.602000,00:06:45.022000,False,0 days 00:06:45.022000,405.022,6.750366666666666,0.1125061111111111,1
downtime_1290,2023-01-19,16:33:28.557000,16:40:13.570000,00:06:45.013000,False,0 days 00:06:45.013000,405.013,6.750216666666666,0.1125036111111111,1
downtime_1331,2023-01-27,14:51:07.346000,14:57:52.353000,00:06:45.007000,False,0 days 00:06:45.007000,405.007,6.750116666666667,0.1125019444444444,1
downtime_134,2022-08-01,17:09:17.971000,17:16:02.968000,00:06:44.997000,False,0 days 00:06:44.997000,404.997,6.74995,0.1124991666666666,1
downtime_1058,2022-12-16,16:51:47.120000,16:58:17.283000,00:06:30.163000,False,0 days 00:06:30.163000,390.163,6.502716666666667,0.1083786111111111,1
downtime_161,2022-09-02,12:12:35.966000,12:19:06.014000,00:06:30.048000,False,0 days 00:06:30.048000,390.048,6.5008,0.1083466666666666,1
