duration_group,event_count,total_minutes,median_minutes,event_share_pct,duration_share_pct
Short (<=P50),695,801.42195,1.0043833333333334,50.07204610951008,10.126594314464738
Medium (P50-P90),554,1504.2822666666666,2.2504,39.913544668587896,19.00778516108374
Long (>=P90),139,5608.328133333333,14.0006,10.014409221902017,70.86562052445153
