date,production_units,liters_produced,product_count,product_mix_l,monitored_time_h,operation_time_h,downtime_h,hourly_records,operating_ratio,event_count,median_event_minutes,max_event_minutes,event_duration_sum_minutes,hourly_data_missing,event_log_present,event_log_gap,low_operating_ratio_outlier,high_downtime_outlier,high_event_count_outlier,outlier_flag_count,operating_loss,complete_for_ranking,operating_loss_pct,downtime_pct,event_count_pct,screening_score,screening_rank
2022-07-22,2849,8547,1,3,6.999999999999995,3.7038852777777818,3.296114722222212,8.0,0.5291264682539693,70.0,1.7504250000000001,51.00288333333333,237.5176833333333,False,True,False,False,False,True,1,0.47087353174603075,True,0.42592592592592593,0.7777777777777778,1.0,73.4567901234568,9.0
2022-07-26,2243,6729,1,3,5.999999999999996,2.2708258333333293,3.729174166666666,6.0,0.3784709722222218,50.0,2.1250833333333334,178.25835,411.51705,False,True,False,False,False,False,0,0.6215290277777782,True,0.8148148148148148,0.8333333333333334,0.8796296296296297,84.25925925925925,5.0
2022-08-01,754,2262,1,3,2.9999999999999973,0.8134699999999997,2.1865299999999976,4.0,0.2711566666666668,17.0,2.000583333333333,73.75735,155.69285,False,True,False,False,False,False,0,0.7288433333333332,True,0.9629629629629629,0.5185185185185185,0.4537037037037037,64.50617283950618,18.0
2022-08-04,1090,3270,1,3,3.2499999999999973,2.2956461111111097,0.9543538888888872,5.0,0.7063526495726498,15.0,1.0079,22.75095,57.26123333333333,False,True,False,False,False,False,0,0.29364735042735024,True,0.1111111111111111,0.2962962962962963,0.37037037037037035,25.925925925925924,46.0
2022-09-02,907,4535,1,5,3.9499999999999966,1.3455697222222205,2.6044302777777757,5.0,0.3406505625879042,53.0,1.500033333333333,121.2523,216.26581666666667,False,True,False,False,False,False,0,0.6593494374120958,True,0.8333333333333334,0.6111111111111112,0.9074074074074074,78.39506172839506,6.0
2022-09-06,1262,3786,1,3,3.4999999999999973,2.603753888888894,0.8962461111111032,4.0,0.7439296825396845,39.0,1.0001,9.750416666666666,53.774766666666665,False,True,False,False,False,False,0,0.2560703174603155,True,0.07407407407407407,0.25925925925925924,0.7962962962962963,37.654320987654316,38.0
2022-09-08,907,4535,1,5,1.9999999999999984,1.3213161111111116,0.6786838888888866,2.0,0.6606580555555563,29.0,1.00045,2.5001166666666665,38.470866666666666,False,True,False,False,False,False,0,0.33934194444444366,True,0.14814814814814814,0.2037037037037037,0.7222222222222222,35.80246913580247,41.0
2022-09-12,892,4460,1,5,3.4999999999999973,1.3559758333333352,2.1440241666666617,4.0,0.3874216666666675,55.0,1.7500666666666669,25.95585,123.14113333333333,False,True,False,False,False,False,0,0.6125783333333326,True,0.7777777777777778,0.5,0.9259259259259259,73.4567901234568,9.0
2022-09-15,1942,5826,1,3,4.7499999999999964,3.029167222222223,1.720832777777773,6.0,0.637719415204679,63.0,1.0002166666666663,92.50431666666668,195.75428333333335,False,True,False,False,False,False,0,0.362280584795321,True,0.2037037037037037,0.4444444444444444,0.9629629629629629,53.70370370370371,26.0
2022-09-20,780,3900,1,5,6.749999999999995,3.660856388888887,3.0891436111111066,9.0,0.542349094650206,49.0,2.24975,3.4998500000000003,106.2257,False,True,False,False,False,False,0,0.457650905349794,True,0.3888888888888889,0.7222222222222222,0.8425925925925926,65.12345679012346,17.0
2022-09-22,1501,4503,1,3,,,,,,39.0,1.0000833333333334,35.75058333333333,79.12291666666667,True,True,False,False,False,False,0,,False,,,,,
