date,hour_start,hour_end,monitored_time_h,operation_time_h,downtime_h,source_efficiency,calculated_monitored_h,monitored_validation_error,operating_ratio,efficiency_validation_error
2022-07-22,12,13,0.9999999999999991,0.49576916666666326,0.5042308333333358,0.4957691666666637,0.9999999999999991,0.0,0.4957691666666637,0.0
2022-07-22,13,14,0.9999999999999991,0.10411444444444648,0.8958855555555527,0.10411444444444662,0.9999999999999992,-1.1102230246251565e-16,0.10411444444444658,4.163336342344337e-17
2022-07-22,14,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-22,15,16,0.9999999999999991,0.45415388888888636,0.5458461111111128,0.45415388888888675,0.9999999999999991,0.0,0.45415388888888675,0.0
2022-07-22,16,17,0.9999999999999991,0.7457441666666746,0.25425583333332447,0.7457441666666753,0.9999999999999991,0.0,0.7457441666666753,0.0
2022-07-22,17,18,0.9999999999999991,0.5749761111111139,0.4250238888888852,0.5749761111111145,0.9999999999999991,0.0,0.5749761111111145,0.0
2022-07-22,18,19,0.9999999999999991,0.5958011111111098,0.40419888888888933,0.5958011111111103,0.9999999999999991,0.0,0.5958011111111103,0.0
2022-07-22,20,21,0.9999999999999991,0.7333263888888875,0.26667361111111165,0.7333263888888881,0.9999999999999991,0.0,0.7333263888888881,0.0
2022-07-26,13,14,0.9999999999999991,0.37916666666666626,0.6208333333333329,0.37916666666666654,0.9999999999999991,0.0,0.3791666666666666,-5.551115123125783e-17
2022-07-26,14,15,0.9999999999999991,0.19583333333333316,0.804166666666666,0.1958333333333333,0.9999999999999992,-1.1102230246251565e-16,0.19583333333333333,-2.7755575615628914e-17
2022-07-26,15,16,0.9999999999999991,0.5124999999999995,0.48749999999999966,0.5125,0.9999999999999991,0.0,0.5125,0.0
2022-07-26,16,17,0.9999999999999991,0.6333688888888845,0.3666311111111146,0.6333688888888851,0.9999999999999991,0.0,0.6333688888888851,0.0
2022-07-26,17,18,0.9999999999999991,0.44995694444444606,0.5500430555555531,0.44995694444444645,0.9999999999999991,0.0,0.44995694444444645,0.0
2022-07-26,18,19,0.9999999999999991,0.0999999999999999,0.8999999999999992,0.09999999999999998,0.9999999999999991,0.0,0.09999999999999998,0.0
2022-08-01,14,15,0.49999999999999956,0.260001111111112,0.23999888888888757,0.5200022222222245,0.49999999999999956,0.0,0.5200022222222245,0.0
2022-08-01,15,16,0.9999999999999991,0.0,0.9999999999999991,0.0,0.9999999999999991,0.0,0.0,0.0
2022-08-01,16,17,0.9999999999999991,0.26586555555555397,0.7341344444444452,0.26586555555555424,0.9999999999999991,0.0,0.2658655555555542,5.551115123125783e-17
2022-08-01,17,18,0.49999999999999956,0.2876033333333338,0.21239666666666573,0.5752066666666682,0.49999999999999956,0.0,0.5752066666666682,0.0
2022-08-04,10,11,0.49999999999999956,0.4333288888888887,0.06667111111111085,0.8666577777777782,0.49999999999999956,0.0,0.8666577777777782,0.0
2022-08-04,11,12,0.9999999999999991,0.8291472222222194,0.17085277777777982,0.82914722222222,0.9999999999999992,-1.1102230246251565e-16,0.8291472222222201,-1.1102230246251565e-16
2022-08-04,12,13,0.49999999999999956,0.2124802777777768,0.2875197222222228,0.424960555555554,0.49999999999999956,0.0,0.424960555555554,0.0
2022-08-04,15,16,0.49999999999999956,0.44987222222222517,0.0501277777777744,0.8997444444444511,0.49999999999999956,0.0,0.8997444444444511,0.0
2022-08-04,16,17,0.7499999999999994,0.37081749999999997,0.3791824999999995,0.49442333333333366,0.7499999999999994,0.0,0.49442333333333366,0.0
2022-09-02,11,12,0.24999999999999978,0.13333277777777608,0.11666722222222371,0.5333311111111048,0.24999999999999978,0.0,0.5333311111111048,0.0
2022-09-02,12,13,0.9999999999999991,0.1518727777777789,0.8481272222222203,0.15187277777777908,0.9999999999999991,0.0,0.15187277777777905,2.7755575615628914e-17
2022-09-02,13,14,0.9999999999999991,0.256418888888892,0.7435811111111071,0.2564188888888923,0.9999999999999991,0.0,0.25641888888889225,5.551115123125783e-17
2022-09-02,14,15,0.9999999999999991,0.483137222222227,0.5168627777777721,0.48313722222222744,0.9999999999999991,0.0,0.48313722222222744,0.0
2022-09-02,15,16,0.6999999999999994,0.32080805555554676,0.37919194444445264,0.45829722222221003,0.6999999999999994,0.0,0.45829722222221003,0.0
2022-09-06,14,15,0.9999999999999991,0.7999891666666656,0.20001083333333353,0.7999891666666663,0.9999999999999991,0.0,0.7999891666666663,0.0
2022-09-06,15,16,0.9999999999999991,0.6916083333333368,0.3083916666666624,0.6916083333333374,0.9999999999999992,-1.1102230246251565e-16,0.6916083333333375,-1.1102230246251565e-16
2022-09-06,16,17,0.9999999999999991,0.7666741666666665,0.2333258333333326,0.7666741666666672,0.9999999999999991,0.0,0.7666741666666672,0.0
2022-09-06,17,18,0.49999999999999956,0.34548222222222486,0.15451777777777476,0.6909644444444503,0.4999999999999996,-5.551115123125783e-17,0.6909644444444504,-1.1102230246251565e-16
2022-09-08,14,15,0.9999999999999991,0.6456133333333319,0.35438666666666724,0.6456133333333325,0.9999999999999991,0.0,0.6456133333333325,0.0
2022-09-08,15,16,0.9999999999999991,0.6757027777777797,0.3242972222222195,0.6757027777777802,0.9999999999999991,0.0,0.6757027777777802,0.0
2022-09-12,13,14,0.49999999999999956,0.35005888888888553,0.14994111111111408,0.7001177777777716,0.4999999999999996,-5.551115123125783e-17,0.7001177777777717,-1.1102230246251565e-16
2022-09-12,14,15,0.9999999999999991,0.5012125000000043,0.4987874999999949,0.5012125000000047,0.9999999999999991,0.0,0.5012125000000047,0.0
2022-09-12,15,16,0.9999999999999991,0.25881722222222575,0.7411827777777734,0.25881722222222603,0.9999999999999991,0.0,0.258817222222226,5.551115123125783e-17
2022-09-12,16,17,0.9999999999999991,0.24588722222221968,0.7541127777777795,0.24588722222221993,0.9999999999999992,-1.1102230246251565e-16,0.2458872222222199,2.7755575615628914e-17
2022-09-15,10,11,0.7499999999999994,0.6124952777777781,0.13750472222222132,0.8166603703703714,0.7499999999999994,0.0,0.8166603703703714,0.0
2022-09-15,11,12,0.9999999999999991,0.7079172222222206,0.2920827777777786,0.7079172222222212,0.9999999999999992,-1.1102230246251565e-16,0.7079172222222213,-1.1102230246251565e-16
2022-09-15,13,14,0.49999999999999956,0.29209138888888714,0.20790861111111242,0.5841827777777748,0.49999999999999956,0.0,0.5841827777777748,0.0
2022-09-15,14,15,0.9999999999999991,0.6791961111111119,0.32080388888888733,0.6791961111111124,0.9999999999999992,-1.1102230246251565e-16,0.6791961111111124,0.0
2022-09-15,15,16,0.9999999999999991,0.4589752777777805,0.5410247222222186,0.4589752777777809,0.9999999999999991,0.0,0.4589752777777809,0.0
2022-09-15,16,17,0.49999999999999956,0.2784919444444449,0.2215080555555547,0.5569838888888903,0.4999999999999996,-5.551115123125783e-17,0.5569838888888903,0.0
2022-09-20,10,11,0.7499999999999994,0.2624627777777777,0.4875372222222217,0.3499503703703706,0.7499999999999993,1.1102230246251565e-16,0.3499503703703705,5.551115123125783e-17
2022-09-20,11,12,0.9999999999999991,0.33790777777777914,0.66209222222222,0.33790777777777947,0.9999999999999991,0.0,0.3379077777777794,5.551115123125783e-17
2022-09-20,13,14,0.33333333333333304,0.1291555555555554,0.20417777777777762,0.3874666666666666,0.33333333333333304,0.0,0.38746666666666657,5.551115123125783e-17
2022-09-20,14,15,0.6666666666666661,0.25004555555555574,0.41662111111111033,0.375068333333334,0.6666666666666661,0.0,0.37506833333333395,5.551115123125783e-17
2022-09-20,11,12,0.9999999999999991,0.8166486111111106,0.18335138888888855,0.8166486111111113,0.9999999999999992,-1.1102230246251565e-16,0.8166486111111114,-1.1102230246251565e-16
2022-09-20,13,14,0.49999999999999956,0.40831555555555143,0.09168444444444816,0.8166311111111035,0.4999999999999996,-5.551115123125783e-17,0.8166311111111036,-1.1102230246251565e-16
2022-09-20,14,15,0.9999999999999991,0.5911899999999978,0.40881000000000134,0.5911899999999983,0.9999999999999991,0.0,0.5911899999999983,0.0
2022-09-20,15,16,0.9999999999999991,0.44429388888889104,0.5557061111111081,0.44429388888889143,0.9999999999999991,0.0,0.44429388888889143,0.0
2022-09-20,16,17,0.49999999999999956,0.42083666666666864,0.07916333333333098,0.8416733333333379,0.4999999999999996,-5.551115123125783e-17,0.841673333333338,-1.1102230246251565e-16
2022-09-28,14,15,0.33333333333333304,0.2374466666666671,0.09588666666666594,0.712340000000002,0.33333333333333304,0.0,0.712340000000002,0.0
2022-09-28,15,16,0.7499999999999994,0.5291597222222202,0.2208402777777792,0.7055462962962942,0.7499999999999993,1.1102230246251565e-16,0.7055462962962941,1.1102230246251565e-16
2022-09-28,18,19,0.9999999999999991,0.608311666666664,0.39168833333333514,0.6083116666666646,0.9999999999999991,0.0,0.6083116666666646,0.0
2022-10-07,13,14,0.16666666666666652,0.11248222222222154,0.05418444444444499,0.6748933333333298,0.16666666666666652,0.0,0.6748933333333298,0.0
